date,sentiment
20-3-2016,-13
21-3-2016,20
22-3-2016,57
23-3-2016,-69
24-3-2016,24
25-3-2016,29
26-3-2016,10
27-3-2016,-19
28-3-2016,-64
29-3-2016,-47
30-3-2016,40
31-3-2016,54
1-4-2016,-170
2-4-2016,5
3-4-2016,-50
4-4-2016,-19
5-4-2016,-69
6-4-2016,14
7-4-2016,-76
8-4-2016,-71
9-4-2016,-16
10-4-2016,-9
11-4-2016,-35
12-4-2016,52
13-4-2016,-13
14-4-2016,-40
15-4-2016,-27
16-4-2016,-63
17-4-2016,-3
18-4-2016,50
19-4-2016,-12
20-4-2016,-1
21-4-2016,55
22-4-2016,-23
23-4-2016,-15
24-4-2016,-66
25-4-2016,-98
26-4-2016,99
27-4-2016,4
28-4-2016,-54
29-4-2016,-4
30-4-2016,-59
1-5-2016,-138
2-5-2016,3
3-5-2016,13
4-5-2016,-21
5-5-2016,8
6-5-2016,-175
7-5-2016,-81
8-5-2016,-32
9-5-2016,-38
10-5-2016,-43
11-5-2016,118
12-5-2016,164
13-5-2016,183
14-5-2016,0
15-5-2016,29
16-5-2016,63
17-5-2016,48
18-5-2016,49
19-5-2016,28
20-5-2016,-43
21-5-2016,-30
22-5-2016,74
23-5-2016,-69
24-5-2016,111
25-5-2016,131
26-5-2016,45
27-5-2016,140
28-5-2016,67
29-5-2016,111
30-5-2016,16
31-5-2016,86
1-6-2016,79
2-6-2016,54
3-6-2016,14
4-6-2016,25
5-6-2016,23
6-6-2016,-14
7-6-2016,112
8-6-2016,34
9-6-2016,152
10-6-2016,-80
11-6-2016,-33
12-6-2016,-34
13-6-2016,-106
14-6-2016,-6
15-6-2016,13
16-6-2016,-90
17-6-2016,-130
18-6-2016,-89
19-6-2016,-119
20-6-2016,-100
21-6-2016,50
22-6-2016,-6
23-6-2016,22
24-6-2016,-166
25-6-2016,-83
26-6-2016,-21
27-6-2016,-86
28-6-2016,-33
29-6-2016,86
30-6-2016,11
1-7-2016,-57
2-7-2016,17
3-7-2016,-17
4-7-2016,-62
5-7-2016,-14
6-7-2016,90
7-7-2016,34
8-7-2016,53
9-7-2016,29
10-7-2016,-10
11-7-2016,25
12-7-2016,153
13-7-2016,101
14-7-2016,-44
15-7-2016,28
16-7-2016,-18
17-7-2016,-28
18-7-2016,-33
19-7-2016,23
20-7-2016,-5
21-7-2016,91
22-7-2016,54
23-7-2016,-16
24-7-2016,-1
25-7-2016,130
26-7-2016,34
27-7-2016,74
28-7-2016,185
29-7-2016,81
30-7-2016,11
31-7-2016,52
1-8-2016,-19
2-8-2016,-90
3-8-2016,-9
4-8-2016,89
5-8-2016,142
6-8-2016,-1
7-8-2016,67
8-8-2016,64
9-8-2016,195
10-8-2016,257
11-8-2016,193
12-8-2016,298
13-8-2016,-14
14-8-2016,-14
15-8-2016,185
16-8-2016,116
17-8-2016,205
18-8-2016,24
19-8-2016,134
20-8-2016,-10
21-8-2016,-47
22-8-2016,61
23-8-2016,96
24-8-2016,278
25-8-2016,123
26-8-2016,26
27-8-2016,-21
28-8-2016,25
29-8-2016,14
30-8-2016,-151
31-8-2016,50
1-9-2016,36
2-9-2016,-41
3-9-2016,6
4-9-2016,-21
5-9-2016,-194
6-9-2016,-68
7-9-2016,59
8-9-2016,-210
9-9-2016,-130
10-9-2016,-115
11-9-2016,-23
12-9-2016,-192
13-9-2016,-145
14-9-2016,-46
15-9-2016,42
16-9-2016,24
17-9-2016,-77
18-9-2016,27
19-9-2016,15
20-9-2016,33
21-9-2016,20
22-9-2016,-17
23-9-2016,-8
24-9-2016,-37
25-9-2016,31
26-9-2016,-12
27-9-2016,-71
28-9-2016,6
29-9-2016,110
30-9-2016,-89
1-10-2016,2
2-10-2016,-66
3-10-2016,-2
4-10-2016,58
5-10-2016,113
6-10-2016,52
7-10-2016,-14
8-10-2016,-32
9-10-2016,-41
10-10-2016,-142
11-10-2016,-194
12-10-2016,-171
13-10-2016,-209
14-10-2016,-5
15-10-2016,-92
16-10-2016,100
17-10-2016,10
18-10-2016,101
19-10-2016,61
20-10-2016,180
21-10-2016,39
22-10-2016,-3
23-10-2016,-45
24-10-2016,108
25-10-2016,52
26-10-2016,-3
27-10-2016,181
28-10-2016,4
29-10-2016,34
30-10-2016,30
31-10-2016,159
1-11-2016,50
2-11-2016,66
3-11-2016,53
4-11-2016,-12
5-11-2016,-21
6-11-2016,-25
7-11-2016,67
8-11-2016,201
9-11-2016,145
10-11-2016,221
11-11-2016,79
12-11-2016,-39
13-11-2016,136
14-11-2016,-76
15-11-2016,123
16-11-2016,154
17-11-2016,-9
18-11-2016,-30
19-11-2016,-33
20-11-2016,33
21-11-2016,-108
22-11-2016,92
23-11-2016,-43
24-11-2016,6
25-11-2016,51
26-11-2016,-62
27-11-2016,-55
28-11-2016,-34
29-11-2016,37
30-11-2016,73
1-12-2016,-16
2-12-2016,-62
3-12-2016,-38
4-12-2016,85
5-12-2016,-64
6-12-2016,-81
7-12-2016,6
8-12-2016,67
9-12-2016,43
10-12-2016,33
11-12-2016,11
12-12-2016,76
13-12-2016,23
14-12-2016,50
15-12-2016,40
16-12-2016,38
17-12-2016,5
18-12-2016,6
19-12-2016,49
20-12-2016,53
21-12-2016,86
22-12-2016,10
23-12-2016,2
24-12-2016,-14
25-12-2016,-11
26-12-2016,32
27-12-2016,29
28-12-2016,43
29-12-2016,136
30-12-2016,95
31-12-2016,-16
1-1-2017,8
2-1-2017,-9
3-1-2017,65
4-1-2017,11
5-1-2017,130
